1.00,0.92,0.96,0.91,0.98,0.86,0.95,0.92,0.96,0.89,0.93,0.90
0.92,1.00,0.92,0.98,0.95,0.97,0.91,0.96,0.97,0.92,0.93,0.94
0.96,0.92,1.00,0.92,0.98,0.89,0.95,0.93,0.92,0.90,0.95,0.92
0.91,0.98,0.92,1.00,0.96,0.98,0.94,0.97,0.97,0.94,0.94,0.95
0.98,0.95,0.98,0.96,1.00,0.93,0.98,0.97,0.97,0.94,0.97,0.95
0.86,0.97,0.89,0.98,0.93,1.00,0.92,0.97,0.94,0.94,0.94,0.96
0.95,0.91,0.95,0.94,0.98,0.92,1.00,0.97,0.97,0.96,0.98,0.96
0.92,0.96,0.93,0.97,0.97,0.97,0.97,1.00,0.98,0.99,0.98,0.99
0.96,0.97,0.92,0.97,0.97,0.94,0.97,0.98,1.00,0.96,0.97,0.97
0.89,0.92,0.90,0.94,0.94,0.94,0.96,0.99,0.96,1.00,0.97,0.99
0.93,0.93,0.95,0.94,0.97,0.94,0.98,0.98,0.97,0.97,1.00,0.98
0.90,0.94,0.92,0.95,0.95,0.96,0.96,0.99,0.97,0.99,0.98,1.00
